Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
74,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,TV (12 eps),Jan 2019 - Mar 2019,A-1 Pictures,"['Comedy', 'Romance', 'Psychological', 'School', 'Seinen']",Manga,PG-13 - Teens 13 or older,Karakai Jouzu no Takagi-san
75,Noragami Aragoto,8.18,TV (13 eps),Oct 2015 - Dec 2015,Bones,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Ao no Exorcist
76,Bakemonogatari,8.35,TV (15 eps),Jul 2009 - Jun 2010,Shaft,"['Mystery', 'Romance', 'Supernatural', 'Vampire']",Light novel,R - 17+ (violence & profanity),Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
77,Kono Subarashii Sekai ni Shukufuku wo! 2,8.29,TV (10 eps),Jan 2017 - Mar 2017,Studio Deen,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Parody']",Light novel,PG-13 - Teens 13 or older,Kore wa Zombie Desu ka?
78,High School DxD,7.36,TV (12 eps),Jan 2012 - Mar 2012,TNK,"['Comedy', 'Romance', 'Ecchi', 'Demons', 'Harem', 'School']",Light novel,R+ - Mild Nudity,Shinmai Maou no Testament
79,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.04,TV (13 eps),Apr 2013 - Jun 2013,Brain's Base,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Hyouka
80,Tate no Yuusha no Nariagari,8.02,TV (25 eps),Jan 2019 - Jun 2019,Kinema Citrus,"['Action', 'Adventure', 'Drama', 'Fantasy']",Light novel,PG-13 - Teens 13 or older,Arifureta Shokugyou de Sekai Saikyou
81,Black Clover,8.05,TV (170 eps),Oct 2017 - Mar 2021,Studio Pierrot,"['Action', 'Comedy', 'Fantasy', 'Shounen']",Manga,PG-13 - Teens 13 or older,Naruto
82,Chuunibyou demo Koi ga Shitai!,7.74,TV (12 eps),Oct 2012 - Dec 2012,Kyoto Animation,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Suzumiya Haruhi no Yuuutsu
83,Kakegurui,7.30,TV (12 eps),Jul 2017 - Sep 2017,MAPPA,"['Drama', 'Mystery', 'Game', 'Psychological', 'School', 'Shounen']",Manga,R - 17+ (violence & profanity),No Game No Life
